A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,LANG
True,False,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,True,False,False,False,False,False,False,E
True,True,False,True,False,False,False,False,False,False,E
False,True,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,False,False,True,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
False,True,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,False,False,True,False,False,False,False,False,False,E
False,True,False,True,False,False,False,False,False,False,E
False,True,False,True,False,False,False,False,False,False,E
False,True,False,False,False,False,False,False,False,False,E
True,True,False,True,False,False,False,False,False,False,E
True,True,False,True,False,False,False,False,False,False,E
False,True,False,True,False,False,False,False,False,False,E
False,True,False,True,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
False,True,False,True,False,True,False,False,False,False,E
True,True,False,True,False,False,False,False,False,False,E
True,False,False,True,False,False,False,False,False,False,E
False,True,False,True,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
False,True,False,True,False,False,False,False,False,False,E
True,False,False,True,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
False,True,False,True,False,False,False,False,False,False,E
False,True,False,True,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
False,False,False,True,False,False,False,False,False,False,E
False,False,False,False,False,True,False,False,False,False,E
True,False,False,True,False,False,False,False,False,False,E
False,True,False,True,False,False,False,False,False,False,E
True,False,False,True,False,False,False,False,False,False,E
False,True,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,False,False,True,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
False,True,False,True,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,False,False,True,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
False,False,False,True,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,False,False,True,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,True,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,True,False,False,False,False,False,False,E
True,True,False,True,False,False,False,False,False,False,E
True,True,False,True,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
False,False,False,True,False,False,False,False,False,False,E
False,True,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,True,False,True,False,False,False,False,False,False,E
True,True,False,True,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,True,False,False,False,False,False,False,E
True,False,False,True,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,True,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
False,True,False,False,False,False,False,False,False,False,E
True,False,False,True,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
False,False,False,True,False,False,False,False,False,False,E
True,False,False,False,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,False,False,True,False,False,False,False,False,False,E
True,True,False,False,False,False,False,False,False,False,E
True,False,False,True,False,False,False,False,False,False,E
